rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported	excluded_core
rg02_theta15p195_foil0	0	1	1	7	1	0	1	0	0	1	0
rg02_theta15p195_foil0	0	1	2	1	9	0	2	0	0	9	0
rg02_theta15p195_foil0	0	1	2	2	73	30	15	13	17	0	0
rg02_theta15p195_foil0	0	1	2	3	2	0	1	0	0	2	0
rg02_theta15p195_foil0	0	1	2	4	145	30	29	22	65	0	0
rg02_theta15p195_foil0	0	1	2	5	182	29	37	30	92	0	0
rg02_theta15p195_foil0	0	1	2	6	261	30	53	35	134	0	0
rg02_theta15p195_foil0	0	1	2	7	2	0	1	0	0	2	0
rg02_theta15p195_foil0	0	1	3	1	7	0	2	0	0	7	0
rg02_theta15p195_foil0	0	1	3	2	67	30	14	11	12	0	0
rg02_theta15p195_foil0	0	1	3	3	116	30	24	20	45	0	0
rg02_theta15p195_foil0	0	1	3	4	148	30	30	25	62	0	0
rg02_theta15p195_foil0	0	1	3	5	204	30	41	35	102	0	0
rg02_theta15p195_foil0	0	1	3	6	240	30	48	43	130	0	0
rg02_theta15p195_foil0	0	1	3	7	12	0	3	0	0	12	0
rg02_theta15p195_foil0	0	1	4	1	10	0	2	0	0	10	0
rg02_theta15p195_foil0	0	1	4	2	69	30	14	12	10	0	0
rg02_theta15p195_foil0	0	1	4	3	136	29	28	22	62	0	0
rg02_theta15p195_foil0	0	1	4	4	46	29	10	7	0	0	0
rg02_theta15p195_foil0	0	1	4	5	217	30	44	35	109	0	0
rg02_theta15p195_foil0	0	1	4	6	300	30	60	45	159	0	0
rg02_theta15p195_foil0	0	1	4	7	12	0	3	0	0	12	0
rg02_theta15p195_foil0	0	1	5	1	6	0	2	0	0	6	0
rg02_theta15p195_foil0	0	1	5	2	57	30	12	11	6	0	0
rg02_theta15p195_foil0	0	1	5	3	104	30	21	19	39	0	0
rg02_theta15p195_foil0	0	1	5	4	139	30	28	22	63	0	0
rg02_theta15p195_foil0	0	1	5	5	3	0	1	0	0	3	0
rg02_theta15p195_foil0	0	1	5	6	290	30	58	48	151	0	0
rg02_theta15p195_foil0	0	1	5	7	9	0	2	0	0	9	0
rg02_theta15p195_foil0	0	1	6	1	1	0	1	0	0	1	0
rg02_theta15p195_foil0	0	1	6	2	39	27	8	6	0	0	0
rg02_theta15p195_foil0	0	1	6	3	113	30	23	20	44	0	0
rg02_theta15p195_foil0	0	1	6	4	147	30	30	22	68	0	0
